DATAFLOW,LAST UPDATE,freq,unit,sex,age,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ010,2021,646097,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ020,2021,694338,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ031,2021,321434,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ032,2021,290828,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ041,2021,144149,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ042,2021,405245,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ051,2021,221560,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ052,2021,275634,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ053,2021,259180,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ063,2021,253216,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ064,2021,600628,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ071,2021,318324,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ072,2021,291536,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,TOTAL,CZ080,2021,601765,b
ESTAT:DEMO_R_PJANAGGR3(1.0),13/07/23 23:00:00,A,NR,F,Y15-64,CZ010,2021,401161,b
